Gene_ID,Raw_FPKM,H3K4me3_signal_bin25,H3K27me3_signal_bin21
Eucgr.B02105,0,-12.9373,22.4405
Eucgr.B02125,0,11.4557,87.6474
Eucgr.B02128,0,0.118914,-10.1181
Eucgr.B02132,0,-128.628,105.728
Eucgr.B02159,0,-6.141,11.2025
Eucgr.B02163,0,42.5612,50.1747
Eucgr.B02165,0,0.879218,119.489
Eucgr.B02167,0,-13.7553,-11.2108
Eucgr.B02170,0,-12.6464,-10.1081
Eucgr.B02181,0,61.4476,10.8096
Eucgr.B02190,0,-10.8848,-7.02811
Eucgr.B02193,0,21.5293,-1.20811
Eucgr.B02207,0,4.08011,5.11832
Eucgr.B02214,0,-18.9811,24.8575
Eucgr.B02218,0,-16.2572,4.4412
Eucgr.B02219,0,-11.7887,33.723
Eucgr.B02235,0,-17.0129,-10.5381
Eucgr.B02239,0,10.1094,56.9605
Eucgr.B02241,0,-6.88603,-5.81811
Eucgr.B02257,0,-7.79548,-14.2924
Eucgr.B02262,0,30.8969,4.28189
Eucgr.B02269,0,40.6102,50.1241
Eucgr.B02280,0,1.09582,-7.41811
Eucgr.B02288,0,3.20278,6.85189
Eucgr.B02301,0,-20.5665,-7.4281
Eucgr.B02305,0,-18.4499,59.256
Eucgr.B02320,0,26.3017,45.9073
Eucgr.B02321,0,57.9221,24.0098
Eucgr.B02329,0,60.6009,-1.71811
Eucgr.B02330,0,20.9866,7.75189
Eucgr.B02339,0,-10.3142,-1.50811
